cp_id,name,iban,country,is_related_party
CP0000,Counterparty_0000,NL51DRMI2569418670,BE,False
CP0001,Counterparty_0001,NL51DRMI2569418670,US,False
CP0002,Counterparty_0002,NL51DRMI2569418670,ES,False
CP0003,Counterparty_0003,NL22GCLR6485075655,FR,False
CP0004,Counterparty_0004,NL18OUHP0349224980,ES,False
CP0005,Counterparty_0005,NL30VBWH9246155796,SE,True
CP0006,Counterparty_0006,NL46KKVI1301077647,FR,False
CP0007,Counterparty_0007,NL24XNYD4644132366,NL,False
CP0008,Counterparty_0008,NL64JYCI1393946427,FR,False
CP0009,Counterparty_0009,NL96GUGS7472004914,SE,True
CP0010,Counterparty_0010,NL72FSHV5514807476,US,False
CP0011,Counterparty_0011,NL48IQDP0660747014,PL,False
CP0012,Counterparty_0012,NL26IRDR1157129954,SE,False
CP0013,Counterparty_0013,NL40PPHA1944470024,DE,False
CP0014,Counterparty_0014,NL69MLYE5548293558,BE,True
CP0015,Counterparty_0015,NL49HAJV0851353166,NL,False
CP0016,Counterparty_0016,NL20HGRS7973169922,NL,False
CP0017,Counterparty_0017,NL13DOOJ3848932962,PL,False
CP0018,Counterparty_0018,NL65NXGZ9115024991,SE,False
CP0019,Counterparty_0019,NL89CTVX2815430736,DE,False
CP0020,Counterparty_0020,NL46JXCT7320992010,US,False
CP0021,Counterparty_0021,NL83XDTE3578012397,ES,False
CP0022,Counterparty_0022,NL38ZMNL1901221069,NL,False
CP0023,Counterparty_0023,NL20HNYS7541880707,SE,False
CP0024,Counterparty_0024,NL83DLDO9039314563,PL,False
CP0025,Counterparty_0025,NL95NHYY4055168171,ES,False
CP0026,Counterparty_0026,NL95NHYY4055168171,US,False
CP0027,Counterparty_0027,NL95NHYY4055168171,FR,False
CP0028,Counterparty_0028,NL77PHKD3941698245,US,False
CP0029,Counterparty_0029,NL32GGZT8891804531,UK,False
CP0030,Counterparty_0030,NL27VIIY1995112514,SE,False
CP0031,Counterparty_0031,NL20OASB1180455683,NL,False
CP0032,Counterparty_0032,NL83IZNT8785041822,DE,False
CP0033,Counterparty_0033,NL32QOYK2003958108,SE,False
CP0034,Counterparty_0034,NL19BKYR0888929385,BE,False
CP0035,Counterparty_0035,NL79QQQU7185359884,FR,False
CP0036,Counterparty_0036,NL79KRQG2014414623,US,False
CP0037,Counterparty_0037,NL42NJTI4316227969,DE,False
CP0038,Counterparty_0038,NL86MUIL5984628557,ES,False
CP0039,Counterparty_0039,NL66BHET0256589196,BE,False
CP0040,Counterparty_0040,NL66CQSP0597199184,DE,False
CP0041,Counterparty_0041,NL62LUZU9902750056,SE,False
CP0042,Counterparty_0042,NL24EDOA5446577975,DE,False
CP0043,Counterparty_0043,NL53GPDY8171704674,NL,False
CP0044,Counterparty_0044,NL92UFRS3788762735,IT,False
CP0045,Counterparty_0045,NL37IEYD0954731715,PL,False
CP0046,Counterparty_0046,NL94YJUP4136907894,DE,False
CP0047,Counterparty_0047,NL20HWWQ1145065004,US,False
CP0048,Counterparty_0048,NL74VLHZ4340359775,ES,False
CP0049,Counterparty_0049,NL19KZBW6278016906,PL,False
CP0050,Counterparty_0050,NL22QQCR8802241878,DE,False
CP0051,Counterparty_0051,NL22QQCR8802241878,SE,False
CP0052,Counterparty_0052,NL22QQCR8802241878,IT,False
CP0053,Counterparty_0053,NL84LBLF1165575608,PL,False
CP0054,Counterparty_0054,NL49EVTB1020759765,FR,False
CP0055,Counterparty_0055,NL14BQAB2847413071,SE,False
CP0056,Counterparty_0056,NL43ZPLO7268541295,IT,False
CP0057,Counterparty_0057,NL36KPNS2649114564,DE,False
CP0058,Counterparty_0058,NL91MDDZ1920364764,SE,True
CP0059,Counterparty_0059,NL66ZKDK8295639024,US,False
CP0060,Counterparty_0060,NL52MDFC5355756566,FR,False
CP0061,Counterparty_0061,NL38GUIO1456539587,ES,False
CP0062,Counterparty_0062,NL59XDXW5752723583,FR,False
CP0063,Counterparty_0063,NL53BDBB8880025341,ES,False
CP0064,Counterparty_0064,NL75IBTX0487843712,SE,False
CP0065,Counterparty_0065,NL63RDNJ5909474376,PL,False
CP0066,Counterparty_0066,NL22STKY6306275417,BE,False
CP0067,Counterparty_0067,NL24KVXZ9528896154,SE,False
CP0068,Counterparty_0068,NL85KICV7044491312,UK,False
CP0069,Counterparty_0069,NL90YBQG1214957400,US,False
CP0070,Counterparty_0070,NL33GVVW6564677607,US,False
CP0071,Counterparty_0071,NL42TOWI9834576835,UK,False
CP0072,Counterparty_0072,NL48XHPD8335485510,UK,False
CP0073,Counterparty_0073,NL45ZXQQ3103312069,UK,False
CP0074,Counterparty_0074,NL71LKHD5504217567,PL,False
CP0075,Counterparty_0075,NL97UQWM9769572967,FR,False
CP0076,Counterparty_0076,NL97UQWM9769572967,BE,False
CP0077,Counterparty_0077,NL97UQWM9769572967,FR,False
CP0078,Counterparty_0078,NL95MWZW4392407602,DE,False
CP0079,Counterparty_0079,NL59OUGY4820039031,FR,False
CP0080,Counterparty_0080,NL92RTSR7087738309,DE,False
CP0081,Counterparty_0081,NL30CQGW4095265074,NL,False
CP0082,Counterparty_0082,NL72XPRG2485378927,US,False
CP0083,Counterparty_0083,NL62LKCH5881606347,NL,False
CP0084,Counterparty_0084,NL47UNZQ2745115198,ES,False
CP0085,Counterparty_0085,NL72TPBK4924311300,US,False
CP0086,Counterparty_0086,NL41FOAH4968344899,US,False
CP0087,Counterparty_0087,NL76NOZH3832538935,UK,False
CP0088,Counterparty_0088,NL97TFPQ6028223113,DE,False
CP0089,Counterparty_0089,NL87AHBO2757648499,SE,False
CP0090,Counterparty_0090,NL62RGVR9274115314,PL,False
CP0091,Counterparty_0091,NL68IYUN9410997120,IT,True
CP0092,Counterparty_0092,NL14GOBZ4257300816,NL,False
CP0093,Counterparty_0093,NL44UBXS4293432410,NL,False
CP0094,Counterparty_0094,NL35CKWE0152403445,FR,False
CP0095,Counterparty_0095,NL79MVNG2352948632,DE,False
CP0096,Counterparty_0096,NL76IGYM0448711603,PL,False
CP0097,Counterparty_0097,NL22AXCA9180117642,BE,False
CP0098,Counterparty_0098,NL17OFPR8402856418,BE,False
CP0099,Counterparty_0099,NL78ZWHG2954969903,SE,False
CP0100,Counterparty_0100,NL75VDIO7162254638,PL,False
CP0101,Counterparty_0101,NL75VDIO7162254638,BE,False
CP0102,Counterparty_0102,NL75VDIO7162254638,FR,False
CP0103,Counterparty_0103,NL55DZGA9059553158,ES,False
CP0104,Counterparty_0104,NL18WKNE6127045123,IT,False
CP0105,Counterparty_0105,NL69ZVEA0512888266,SE,False
CP0106,Counterparty_0106,NL26ONKT6577527791,PL,False
CP0107,Counterparty_0107,NL47YNYA0735449078,SE,False
CP0108,Counterparty_0108,NL68KERM1392161989,NL,False
CP0109,Counterparty_0109,NL91GFIM8768634507,BE,False
CP0110,Counterparty_0110,NL68TNUY5417968875,ES,False
CP0111,Counterparty_0111,NL18AFLT4029938798,NL,False
CP0112,Counterparty_0112,NL65KQIJ6553406595,FR,False
CP0113,Counterparty_0113,NL51BFIJ3371313603,DE,False
CP0114,Counterparty_0114,NL12YSGF0475832429,SE,False
CP0115,Counterparty_0115,NL26MNBM4210040926,NL,True
CP0116,Counterparty_0116,NL69MWCG2123738791,DE,False
CP0117,Counterparty_0117,NL97PZJY5041932540,DE,False
CP0118,Counterparty_0118,NL82VTQK5510241183,DE,False
CP0119,Counterparty_0119,NL61NTTH8384170702,ES,False
CP0120,Counterparty_0120,NL63YKDG8713218616,FR,False
CP0121,Counterparty_0121,NL46BLEG8718587355,SE,False
CP0122,Counterparty_0122,NL74GIGH1090807352,BE,False
CP0123,Counterparty_0123,NL53LNKN8431311904,ES,False
CP0124,Counterparty_0124,NL84YDEJ5921280311,IT,False
CP0125,Counterparty_0125,NL91AIXP0494556189,IT,False
CP0126,Counterparty_0126,NL91AIXP0494556189,US,False
CP0127,Counterparty_0127,NL91AIXP0494556189,BE,False
CP0128,Counterparty_0128,NL35QTAO9228034714,ES,False
CP0129,Counterparty_0129,NL23UQMK1963477436,PL,False
CP0130,Counterparty_0130,NL68PBMP9535106985,PL,False
CP0131,Counterparty_0131,NL13ZLHX7729457613,IT,False
CP0132,Counterparty_0132,NL42YSJT7348517557,IT,False
CP0133,Counterparty_0133,NL90IKEQ4364442180,PL,False
CP0134,Counterparty_0134,NL38RDRT6308381179,IT,False
CP0135,Counterparty_0135,NL86TGXR1182712226,SE,False
CP0136,Counterparty_0136,NL91XTFY5577956723,DE,False
CP0137,Counterparty_0137,NL65BISZ5346505478,FR,False
CP0138,Counterparty_0138,NL95PJLE9883385744,DE,False
CP0139,Counterparty_0139,NL66VIVG4999389907,NL,False
CP0140,Counterparty_0140,NL98TGTC4646266623,UK,True
CP0141,Counterparty_0141,NL32MPJK2268285130,BE,False
CP0142,Counterparty_0142,NL13ILUD8216761134,UK,False
CP0143,Counterparty_0143,NL98HFYE0446892960,UK,True
CP0144,Counterparty_0144,NL93DPUG2482641785,IT,False
CP0145,Counterparty_0145,NL25ELNO2526760909,SE,False
CP0146,Counterparty_0146,NL12NCCR7193324142,PL,False
CP0147,Counterparty_0147,NL14JRTJ3768989433,FR,False
CP0148,Counterparty_0148,NL30TSUE4282158903,FR,False
CP0149,Counterparty_0149,NL23INHB5020048700,US,False
CP0150,Counterparty_0150,NL40QTVI1010828554,DE,False
CP0151,Counterparty_0151,NL40QTVI1010828554,ES,False
CP0152,Counterparty_0152,NL40QTVI1010828554,UK,False
CP0153,Counterparty_0153,NL25EEBV0369819614,DE,False
CP0154,Counterparty_0154,NL91KEWY9984162469,IT,False
CP0155,Counterparty_0155,NL35GTAO7538374050,FR,False
CP0156,Counterparty_0156,NL92PJMQ2242718351,DE,False
CP0157,Counterparty_0157,NL44THDN1345668030,IT,False
CP0158,Counterparty_0158,NL10FPXU6718804848,DE,False
CP0159,Counterparty_0159,NL93MBIF4541360280,IT,False
CP0160,Counterparty_0160,NL46FCKN1016813332,DE,False
CP0161,Counterparty_0161,NL14NJIG9642880960,UK,False
CP0162,Counterparty_0162,NL77CBCL6411897186,PL,False
CP0163,Counterparty_0163,NL56DZLB2403490598,BE,False
CP0164,Counterparty_0164,NL92EUZI4542993837,US,False
CP0165,Counterparty_0165,NL62MDRI2191780553,US,False
CP0166,Counterparty_0166,NL69KLLU6398973732,SE,False
CP0167,Counterparty_0167,NL50ZOJM2635339303,DE,False
CP0168,Counterparty_0168,NL57CHEN7938275775,US,False
CP0169,Counterparty_0169,NL32NVZY1516906983,SE,False
CP0170,Counterparty_0170,NL19YXPZ0609695003,US,False
CP0171,Counterparty_0171,NL76DWGM2440579388,DE,False
CP0172,Counterparty_0172,NL97JWOB2614714252,PL,False
CP0173,Counterparty_0173,NL95BZUW8195985311,DE,False
CP0174,Counterparty_0174,NL44VNMG5697694931,ES,False
CP0175,Counterparty_0175,NL47DDWU2802737800,UK,False
CP0176,Counterparty_0176,NL47DDWU2802737800,ES,False
CP0177,Counterparty_0177,NL47DDWU2802737800,ES,False
CP0178,Counterparty_0178,NL55YFKF8492056988,NL,False
CP0179,Counterparty_0179,NL66JLDL3025394960,ES,False
